,Mano,Chica,Stddev_chica,Chica_value
956,C S S A (4),5.73121,0.927479,1666.9
227,R S S A (1),5.72577,0.654909,1667.6
537,R S S A (2),5.71243,0.653119,1667.7
440,R S S A (3),5.6971,0.651051,1667.8
331,R S S A (4),5.68393,0.653082,1667.9
1151,C C S A (1),5.56801,0.914593,1676.6
1110,C C S A (2),5.56046,0.913443,1676.7
913,C C S A (3),5.55416,0.911918,1676.8
69,C C S A (4),5.54515,0.911771,1676.9
967,R C S A (1),5.51283,0.392976,1677.6
269,R C S A (2),5.39003,0.389658,1677.7
564,R C S A (3),5.26749,0.38631,1677.8
821,R C S A (4),5.14756,0.381731,1677.9
887,R R S A (1),5.04525,0.402489,1687.6
592,R R S A (2),4.9597,0.400931,1687.7
1170,R R S A (3),4.87585,0.397404,1687.8
997,R R S A (4),4.79297,0.393665,1687.9
345,C C C A (1),4.59828,2.0601,1776.6
724,C C C A (2),4.59004,2.05043,1776.7
728,C C C A (3),4.59524,2.05071,1776.8
334,C C C A (4),4.60238,2.05099,1776.9
754,R C C A (1),4.59587,0.590054,1777.6
751,R C C A (2),4.57979,0.58857,1777.7
655,R C C A (3),4.57045,0.588152,1777.8
867,R C C A (4),4.55746,0.587543,1777.9
619,R R C A (1),4.4926,0.381613,1787.6
1068,R R C A (2),4.41141,0.379374,1787.7
799,R R C A (3),4.33114,0.375845,1787.8
927,R R C A (4),4.25248,0.372311,1787.9
105,R R R A (1),4.19835,0.522809,1887.6
384,R R R A (2),4.18024,0.521744,1887.7
292,R R R A (3),4.16438,0.520844,1887.8
636,R R R A (4),4.14655,0.520702,1887.9
755,4 4 4 4 (1),2.44328,9.73708,2221.6
1033,4 4 4 4 (2),2.4219,9.77857,2221.7
421,4 4 4 4 (3),2.4564,9.7528,2221.8
807,4 4 4 4 (4),2.42933,9.73388,2221.9
628,5 4 4 4 (1),2.42789,2.14138,2222.6
1144,5 4 4 4 (2),2.42892,2.1414,2222.7
467,5 4 4 4 (3),2.42323,2.14547,2222.8
189,5 4 4 4 (4),2.42525,2.14573,2222.9
1214,6 4 4 4 (1),2.42704,2.14589,2223.6
